No,Video Name,Link,Duration,Frames Collected,Total Accumulated Frames
17,Panel: Trump says he doesn’t care about Iran deal. Does it risk escalation?,https://www.youtube.com/watch?v=7CCev8akp0M,09:19,0,67
18,Trump weighing invading several Iranian islands,https://www.youtube.com/watch?v=6_GWNi4y5nQ,08:05,0,67
19,"Iran's chokepoint strategy, Israel-Lebanon & more | Fareed interview roundup",https://www.youtube.com/watch?v=SjGw_BCPaL8,38:16,2,69
20,Why hyper-real ‘reborn’ dolls are booming worldwide,https://www.youtube.com/watch?v=cdGatMdCp4k,05:33,25,94
21,Enten: Even Fox News poll shows Trump’s Iran war is unpopular,https://www.youtube.com/watch?v=CIHZlc79VGI,10:45,2,96
22,Bolton: Trump is 'confused' about Iran war objectives,https://www.youtube.com/watch?v=_tux54JJY-U,10:43,2,98
23,The vast network of men drugging and raping their wives,https://www.youtube.com/watch?v=zE_kzRs1wTE,16:25,53,151
24,When the bookie is in your pocket | The Assignment,https://www.youtube.com/watch?v=BW-s5ur4Os4,34:37,1,152
25,Panel: What's stopping Congress from funding the TSA?,https://www.youtube.com/watch?v=RfFHWRwS8fA,10:24,0,152
26,Iran laying traps on Kharg as US weighs takeover of island,https://www.youtube.com/watch?v=XRvIKb9mRnU,08:14,6,158
27,"The new nuclear arms race: Faster weapons, fewer rules",https://www.youtube.com/watch?v=UjE7jLcMvXI,08:02,2,160
28,Meta & YouTube liable for social media addiction: Jury,https://www.youtube.com/watch?v=iwPbm2To4Qw,07:35,0,160
29,"The global shipping detour around Hormuz: 3x longer, 4x costlier",https://www.youtube.com/watch?v=W0s11PAMtwo,09:47,3,163
30,‘Really big signs’: Enten on FL Dem adding to string of special election flips,https://www.youtube.com/watch?v=5xtqyBjlKLU,08:38,17,180
31,"US expected to send ~1,000 paratroopers to Middle East",https://www.youtube.com/watch?v=aysAJ2w7ghQ,10:11,0,180
32,"Panel: If Trump says we've won, why send more troops?",https://www.youtube.com/watch?v=bsZpxil44RE,10:49,0,180
33,FL Dem. Emily Gregory flips Trump's home district,https://www.youtube.com/watch?v=_U_kWgfG7Bs,08:09,0,180
34,'Many things went wrong': NTSB findings on LGA plane crash,https://www.youtube.com/watch?v=cfne2RxYLjU,10:41,6,186
35,Trump calls vote-by-mail 'cheating' after voting by mail in FL election,https://www.youtube.com/watch?v=AO4gNw31Od8,09:20,0,186
36,Farmer calls out Trump admin as Iran war spikes fertilizer costs,https://www.youtube.com/watch?v=JqfxgbVCMXk,09:50,0,186
37,Enten: Trump’s 2nd term saw 40x more govt. shutdown time than other presidents,https://www.youtube.com/watch?v=Fj2bVD50TpU,09:30,0,186
38,Flight simulator shows what pilots saw before LGA plane crash,https://www.youtube.com/watch?v=mO1d6zwcvSc,10:52,0,186
39,The tech helping women take control of their health | Terms of Service,https://www.youtube.com/watch?v=wLMxvdlrj0M,24:48,1,187
40,Panel roundup: Is Trump’s Iran strategy backfiring?,https://www.youtube.com/watch?v=7LO-9xojm0M,50:51,0,187
1,How a landmark verdict could reshape social media | Terms of Service,https://www.youtube.com/watch?v=bWdaw8keGa4,26:24,1,188
42,Israeli strikes are emptying Southern Lebanon of its civilian population,https://www.youtube.com/watch?v=S-bxg7SqVOM,04:43,11,199
43,Airport lines hit 3+ hours as ICE aids TSA,https://www.youtube.com/watch?v=pxCFqw2do5A,12:20,0,199
44,Aviation experts explain how the LGA plane crash unfolded,https://www.youtube.com/watch?v=rRAYzUxaeiA,16:26,24,223
45,Trump delays Iran ultimatum after ‘very good’ talks with Tehran,https://www.youtube.com/watch?v=NatzWb3183o,10:48,12,235
46,LaGuardia Airport closed after plane collision kills 2,https://www.youtube.com/watch?v=zCLOAKSpq3U,10:28,0,235
47,"Epstein roundup: Trump allegations, perjury claims & key testimony",https://www.youtube.com/watch?v=y8gUXahQ_74,43:22,5,240
48,How Iran flipped the economics of war against US | Fareed's Take,https://www.youtube.com/watch?v=V2gfNKxpVmg,11:02,12,252
49,Trump is deploying ICE to cover TSA in airports,https://www.youtube.com/watch?v=EWtkg6Di2Ac,12:34,0,252
50,Comedians take swings at Trump’s plea for Iran help | Have I Got News For You,https://www.youtube.com/watch?v=cszbqHzCUy8,11:02,3,255
51,Trump gives Iran 48-hour ultimatum to reopen Strait of Hormuz,https://www.youtube.com/watch?v=c5fo-yhWnPw,09:31,1,256
52,Inside Iran in the opening days of the war,https://www.youtube.com/watch?v=lvYH13tEZas,10:10,9,265
53,"How Russia, China & others use AI to enhance foreign influence campaigns",https://www.youtube.com/watch?v=7TVIqbtORmk,12:20,21,286
54,Inside Israel’s war with Lebanon,https://www.youtube.com/watch?v=xgiKpqAaQu4,07:18,50,336
55,Retired generals break down Iran war strategy after week 3,https://www.youtube.com/watch?v=EbSYGcDsUzU,26:18,0,336
56,Audience questions Amb. Waltz on Iran war | CNN Town Hall,https://www.youtube.com/watch?v=8TlpiGrHJVo,08:08,1,337
57,"35 minutes of Enten running numbers on Trump, Iran & more",https://www.youtube.com/watch?v=gXlwweaPPgs,34:42,4,341
58,Who called the war in Iran 'a betrayal'? Your weekly news quiz,https://www.youtube.com/watch?v=Zj8BIt9JwDc,09:47,6,347
59,"US sending roughly 4,500 more troops to Middle East, officials say",https://www.youtube.com/watch?v=Wb0-lM4krkA,10:02,6,353
60,Enten breaks down Hegseth's unpopularity vs. past defense secretaries,https://www.youtube.com/watch?v=HMUzN0Z3Pws,08:49,2,355
61,Why allergies are getting worse | Chasing Life,https://www.youtube.com/watch?v=2bm1Holjuyg,28:59,0,355
62,Panel: Is Trump losing control of the Iran war?,https://www.youtube.com/watch?v=uz-O0BeN7WY,10:20,0,355
63,"Sara Bareilles debuts 'Home,' a new song about grief inspired by Anderson Cooper and Stephen Colbert",https://www.youtube.com/watch?v=OQLNyoCZZV0,39:49,22,377
64,Trump: $200B Iran war funding request 'a small price to pay',https://www.youtube.com/watch?v=j-Z-go40eBQ,09:34,7,384
65,"Enten shows the 'most troublesome sign' for Trump, GOP midterms",https://www.youtube.com/watch?v=3lYSucTDuHU,10:42,0,384
66,Joe Kent doubles down: ‘No intelligence’ of an Iran ‘sneak attack’,https://www.youtube.com/watch?v=3OfqVmdK1Kc,11:52,0,384
67,Trump criticizes Israel over Iran gas site attack,https://www.youtube.com/watch?v=X-ZKeYFh0P0,09:05,0,384
68,How the Kennedys track American culture | The Assignment,https://www.youtube.com/watch?v=vSilH8_rFfA,27:43,5,389
69,Florida GOP candidate wants to put a 'sin tax' on OnlyFans,https://www.youtube.com/watch?v=2lZY53Svhqc,05:46,1,390
70,Panel: Who decides what’s an ‘imminent threat’ to America?,https://www.youtube.com/watch?v=gnl24pLR1-g,10:51,0,390
71,What kind of sea mines is Iran using in Strait of Hormuz?,https://www.youtube.com/watch?v=KDBML47APZw,11:45,1,391
72,Dems furious after Bondi briefing on Epstein files,https://www.youtube.com/watch?v=H3ykaHl7VVk,09:39,0,391
73,US strategy in Iran: Fareed’s ‘imperial trap’; Bolton on Trump,https://www.youtube.com/watch?v=4ydTXGLOeU8,08:39,0,391
74,Enten: Illinois' primary turnout reveals how big Dem's 2026 edge is,https://www.youtube.com/watch?v=mxopXfieSuc,08:01,9,400
75,What happens when the Fed loses independence,https://www.youtube.com/watch?v=S6r4U7syHvA,09:22,19,419
76,Rand Paul confronts Mullin over calling him a 'freaking snake',https://www.youtube.com/watch?v=6GtXQMLu17U,13:36,0,419
77,Iran targets Tel Aviv in 'revenge' for natl. security chief’s death,https://www.youtube.com/watch?v=S22LmAOyexY,09:47,0,419
78,Panel: Is Joe Kent right that 'Iran posed no imminent threat'?,https://www.youtube.com/watch?v=Ac7k8PjhSdU,18:05,3,422
79,"Delta CEO: Jet fuel costs double, airfares rising since Iran war",https://www.youtube.com/watch?v=oEhLBAF7Pps,10:01,34,456
80,Rubio calls for new leadership in Cuba after nationwide blackout,https://www.youtube.com/watch?v=MiHYWRe88rI,08:40,9,465
81,Enten: Key allies ‘absolutely despise’ US action in Iran,https://www.youtube.com/watch?v=WMZRxqZxhGQ,08:37,0,465
82,Top Trump intel official Joe Kent resigns over Iran war,https://www.youtube.com/watch?v=DGoWtb20woo,12:01,0,465
83,"Iran’s top natl. security official is dead, Israel says",https://www.youtube.com/watch?v=aCsZmgUvQ5E,08:39,0,465
84,Apple at 50: How the iPhone maker revolutionized tech | Terms of Service,https://www.youtube.com/watch?v=UlfMIDb47sY,24:52,0,465
85,Panel: Why are allies hesitating on Trump’s Strait of Hormuz effort?,https://www.youtube.com/watch?v=Dl-K61juIm4,16:27,0,465
86,MTG on Trump’s Iran war: ‘Why would an American president do that?’,https://www.youtube.com/watch?v=8R2nXfiRDI8,10:00,0,465
87,Airport delays & lines swell as 300+ TSA agents quit,https://www.youtube.com/watch?v=GE2qZDAdqcI,11:13,2,467
88,Enten: Why Trump hasn't endorsed Paxton or Cornyn yet for TX senate,https://www.youtube.com/watch?v=4gAcmG6zPbE,09:17,0,467
89,US allies reject Trump's call for help in Strait of Hormuz,https://www.youtube.com/watch?v=zY5cbG0xDDc,09:55,1,468
90,Iran vs. economy: Enten reveals what Americans care about more,https://www.youtube.com/watch?v=SxHAFoV1pwQ,08:32,0,468
91,‘There’s a real problem here’: Bolton knocks Trump’s Iran planning,https://www.youtube.com/watch?v=aZDgnfCngWk,12:11,0,468
92,"FBI: China has ‘hundreds’ of proxies in the US, targeting critics",https://www.youtube.com/watch?v=BXj0qBJ2X7U,09:21,0,468
93,Comedians roast Trump’s ‘little excursion’ in Iran | Have I Got News For You,https://www.youtube.com/watch?v=V0GkfbsUW0o,10:17,64,532
94,Why America keeps getting bogged down in the Middle East | Fareed's Take,https://www.youtube.com/watch?v=cGDVTgOw_4Q,10:04,0,532
95,"‘Amateur hour’: Buttigieg slams Trump, Hegseth’s Iran war approach",https://www.youtube.com/watch?v=61mDCG2PFvs,09:40,0,532
96,"Russia supplied Iran with drones used in conflict, says Zelensky",https://www.youtube.com/watch?v=IS438OzPndQ,10:37,2,534
97,Trump claims countries will send warships to Strait of Hormuz,https://www.youtube.com/watch?v=mBseqz0k9zg,13:58,0,534
98,"Epstein’s island was so horrific, one victim tried to swim away",https://www.youtube.com/watch?v=pHBKybYsx0k,08:01,10,544
99,Retired generals break down Iran war strategy after week 2,https://www.youtube.com/watch?v=62lQhjpz3LI,28:05,1,545
100,"Iran war hikes US costs of mortgages, flights, groceries & more",https://www.youtube.com/watch?v=IeiqDaTYp9M,10:53,10,555
101,"Marjorie Taylor Greene calls on Vance, Gabbard to speak against war",https://www.youtube.com/watch?v=XW2_dshaGZc,10:39,4,559
102,"Trump says Iran's Kharg Island bombed; US deploying up to 2,500 to Mideast",https://www.youtube.com/watch?v=bo5U2CXtOfw,09:14,24,583
103,Shipping & biotech CEOs on Strait of Hormuz supply chain turmoil,https://www.youtube.com/watch?v=6P6YdxKrOOo,11:25,0,583
104,"Iran war costs, wife-carrying races & Rihanna: Your weekly news quiz",https://www.youtube.com/watch?v=r6rVIReNlHQ,09:17,16,599
105,Trump admin ‘significantly underestimated’ Iran’s Strait of Hormuz closure,https://www.youtube.com/watch?v=s-yuC6LSByk,08:09,4,603
106,US crew dead after KC-135 plane crash in Iraq,https://www.youtube.com/watch?v=XzHq5fwXpzk,08:47,0,603
107,Believe your brain destined to decline? Think again | Chasing Life,https://www.youtube.com/watch?v=IguajMYlock,35:09,1,604
108,US KC-135 refueling plane crashes in Iraq,https://www.youtube.com/watch?v=AGB3QUlxm30,08:38,0,604
109,Epstein's New Mexico ranch searched; his former accountant testifies,https://www.youtube.com/watch?v=sWDIOAyHB4U,12:18,0,604
110,Explosives found in car that rammed synagogue near Detroit: Sources,https://www.youtube.com/watch?v=0Z2ZVpOQwfE,09:53,16,620
111,US accidentally bombed Iran school due to outdated intel: Sources,https://www.youtube.com/watch?v=VwDEH8RuEGA,08:24,7,627
112,32 nations release emergency oil reserves; prices still soaring,https://www.youtube.com/watch?v=xulpJpQ3LLE,10:34,0,627
113,"Oscars 2026: Chalamet, Sinners ... and Our Predictions",https://www.youtube.com/watch?v=iTsdutXDO-8,30:55,5,632
114,How immigration agents break rules using less-lethal weapons,https://www.youtube.com/watch?v=vglAOlPwaKY,06:08,8,640
115,Iran war: Retired admirals assess Strait of Hormuz threat,https://www.youtube.com/watch?v=kqhZoMM1oTI,08:48,0,640
116,Russia is advising Iran on drone tactics: Source,https://www.youtube.com/watch?v=wMi1g5kuzv4,08:16,0,640
117,Enten breaks down Trump’s dismal ratings as gas prices skyrocket,https://www.youtube.com/watch?v=dqxYk58Jg68,08:01,0,640
118,Iran war: 3 ships struck in Strait of Hormuz,https://www.youtube.com/watch?v=El4sAQIWpoY,11:54,0,640
119,Robert Irwin talks to Anderson Cooper about his father's death and how he can still 'feel' him today,https://www.youtube.com/watch?v=SLQ3KThaAw4,47:21,7,647
